algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,14920.6054607172,14920.6054607172,0,14920.6054607172,14920.6054607172,9.3916814,3000
BBO_BASE,2,2621,2621,0,2621,2621,9.1620656,3000
BBO_BASE,3,847.758115073639,847.758115073639,0,847.758115073639,847.758115073639,14.5733447,3000
BBO_IMPROVED_V1,1,5576.08472166603,5576.08472166603,0,5576.08472166603,5576.08472166603,9.4944004,3000
BBO_IMPROVED_V1,2,483,483,0,483,483,9.1620131,3000
BBO_IMPROVED_V1,3,430.678979702354,430.678979702354,0,430.678979702354,430.678979702354,15.7237802,3000
BBO_IMPROVED_V2,1,26973.7780042316,26973.7780042316,0,26973.7780042316,26973.7780042316,9.1162906,3000
BBO_IMPROVED_V2,2,3190,3190,0,3190,3190,9.2102142,3000
BBO_IMPROVED_V2,3,1174.29377384492,1174.29377384492,0,1174.29377384492,1174.29377384492,15.0481935,3000
BBO_IMPROVED_V3,1,56810.9242182195,56810.9242182195,0,56810.9242182195,56810.9242182195,9.1401082,3000
BBO_IMPROVED_V3,2,5145,5145,0,5145,5145,12.3637411,3000
BBO_IMPROVED_V3,3,433.448900203376,433.448900203376,0,433.448900203376,433.448900203376,14.9094907,3000
MGO,1,148958047.939125,148958047.939125,0,148958047.939125,148958047.939125,9.1154064,3000
MGO,2,4312626,4312626,0,4312626,4312626,15.4658859,3000
MGO,3,12911.8282683336,12911.8282683336,0,12911.8282683336,12911.8282683336,9.6213451,3000
PLO,1,337492482.39714,337492482.39714,0,337492482.39714,337492482.39714,9.1473031,3000
PLO,2,116232368,116232368,0,116232368,116232368,15.3795176,3000
PLO,3,19217.5366759603,19217.5366759603,0,19217.5366759603,19217.5366759603,9.8708234,3000
SBO,1,49114864.9837378,49114864.9837378,0,49114864.9837378,49114864.9837378,9.1004465,3000
SBO,2,32225,32225,0,32225,32225,14.389252,3000
SBO,3,4694.03346717962,4694.03346717962,0,4694.03346717962,4694.03346717962,9.2056306,3000
