algorithm_name,function_id,best,mean,std,worst,median,avg_runtime,avg_used_FEs
BBO_BASE,1,2860.29449374146,2860.29449374146,0,2860.29449374146,2860.29449374146,11.9305945,3000
BBO_BASE,2,8789,8789,0,8789,8789,9.528856,3000
BBO_BASE,3,431.642942646615,431.642942646615,0,431.642942646615,431.642942646615,11.6752412,3000
MGO,1,143374616.882927,143374616.882927,0,143374616.882927,143374616.882927,10.2583246,3000
MGO,2,2124948,2124948,0,2124948,2124948,11.1764401,3000
MGO,3,8102.18577116922,8102.18577116922,0,8102.18577116922,8102.18577116922,10.1897252,3000
PLO,1,141372567.665902,141372567.665902,0,141372567.665902,141372567.665902,12.29037,3000
PLO,2,86058283,86058283,0,86058283,86058283,13.040387,3000
PLO,3,27001.4443241438,27001.4443241438,0,27001.4443241438,27001.4443241438,10.5311882,3000
SBO,1,39289463.1817204,39289463.1817204,0,39289463.1817204,39289463.1817204,10.5699415,3000
SBO,2,15614640,15614640,0,15614640,15614640,9.5134065,3000
SBO,3,3674.22747334926,3674.22747334926,0,3674.22747334926,3674.22747334926,9.9679711,3000
V3_BASELINE,1,9681.20601623216,9681.20601623216,0,9681.20601623216,9681.20601623216,10.2552561,3000
V3_BASELINE,2,26348,26348,0,26348,26348,16.7095657,3000
V3_BASELINE,3,1398.22142925023,1398.22142925023,0,1398.22142925023,1398.22142925023,11.5072159,3000
V3_DIR_ELITE_ONLY,1,2083455.41613627,2083455.41613627,0,2083455.41613627,2083455.41613627,10.9101332,3000
V3_DIR_ELITE_ONLY,2,7999,7999,0,7999,7999,9.9748278,3000
V3_DIR_ELITE_ONLY,3,1277.17587983619,1277.17587983619,0,1277.17587983619,1277.17587983619,10.2260319,3000
V3_DIR_LATE,1,3571901.25667006,3571901.25667006,0,3571901.25667006,3571901.25667006,10.3388474,3000
V3_DIR_LATE,2,1276348,1276348,0,1276348,1276348,16.2321069,3000
V3_DIR_LATE,3,5480.10363072066,5480.10363072066,0,5480.10363072066,5480.10363072066,10.2322347,3000
V3_DIR_SMALL_STEP,1,1092910.76523759,1092910.76523759,0,1092910.76523759,1092910.76523759,11.3494563,3000
V3_DIR_SMALL_STEP,2,259618,259618,0,259618,259618,10.1766144,3000
V3_DIR_SMALL_STEP,3,1081.88605676365,1081.88605676365,0,1081.88605676365,1081.88605676365,10.6255152,3000
V3_DIR_STAGNATION,1,283786.610551971,283786.610551971,0,283786.610551971,283786.610551971,11.0571507,3000
V3_DIR_STAGNATION,2,12902,12902,0,12902,12902,10.2049688,3000
V3_DIR_STAGNATION,3,3061.10052559586,3061.10052559586,0,3061.10052559586,3061.10052559586,10.162998,3000
V3_FAST_SIMPLE_A,1,172503.747396785,172503.747396785,0,172503.747396785,172503.747396785,9.8397701,3000
V3_FAST_SIMPLE_A,2,240575,240575,0,240575,240575,15.9623892,3000
V3_FAST_SIMPLE_A,3,4031.21968489251,4031.21968489251,0,4031.21968489251,4031.21968489251,10.7650974,3000
V3_FAST_SIMPLE_B,1,13816.3192704689,13816.3192704689,0,13816.3192704689,13816.3192704689,10.2103448,3000
V3_FAST_SIMPLE_B,2,5032,5032,0,5032,5032,16.5491405,3000
V3_FAST_SIMPLE_B,3,3132.58436518978,3132.58436518978,0,3132.58436518978,3132.58436518978,10.0134093,3000
V3_HYBRID_A_DIR_STAG,1,4107895.45099765,4107895.45099765,0,4107895.45099765,4107895.45099765,10.4032484,3000
V3_HYBRID_A_DIR_STAG,2,132868,132868,0,132868,132868,9.9962372,3000
V3_HYBRID_A_DIR_STAG,3,9341.37225081643,9341.37225081643,0,9341.37225081643,9341.37225081643,10.9478854,3000
V3_HYBRID_B_DIR_SMALL,1,20088.5909391953,20088.5909391953,0,20088.5909391953,20088.5909391953,11.7061857,3000
V3_HYBRID_B_DIR_SMALL,2,4506,4506,0,4506,4506,10.0447057,3000
V3_HYBRID_B_DIR_SMALL,3,2053.95697039832,2053.95697039832,0,2053.95697039832,2053.95697039832,10.800251,3000
